permit_type,issue_date,property_address,owner_name,owner_first_name,owner_last_name,job_valuation
Pool Permit,2026-04-30,"207 OLEANDER RD, LAKE WALES FL 33898",Login | Register,Login,| Register,56500.00
Pool Permit,2026-04-29,"9 CRYSTAL WATERS DR, WINTER HAVEN FL 33880",Login | Register,Login,| Register,40000.00
Pool Permit,2026-04-28,"183 MAGELLAN CT, DAVENPORT FL 33837",Login | Register,Login,| Register,60000.00
Pool Permit,2026-04-27,"430 ALABAMA AVE, DAVENPORT FL 33896",Login | Register,Login,| Register,54000.00
Pool Permit,2026-04-26,"12415 TUPELO LN, LAKE WALES FL 33898",Login | Register,Login,| Register,52000.00
Pool Permit,2026-04-25,"2050 S SOMERVILLE DR, LAKELAND FL 33815",Login | Register,Login,| Register,1000.00
Pool Permit,2026-04-23,"4232 HAVEN LAKE CT, LAKELAND FL 33813",Login | Register,Login,| Register,18000.00
Pool Permit,2026-04-23,"5491 KNIGHTS LANDING DR, LAKELAND FL 33810",Login | Register,Login,| Register,10000.00
Pool Permit,2026-04-22,"4412 KAIPO RD, DAVENPORT FL 33897",Login | Register,Login,| Register,20000.00
Pool Permit,2026-04-22,"307 WHITE CLIFF BLVD, AUBURNDALE FL 33823",Login | Register,Login,| Register,65000.00
Pool Permit,2026-04-21,"1430 N CROOKED LAKE DR, BABSON PARK FL 33827",Login | Register,Login,| Register,55000.00
Pool Permit,2026-04-20,"117 SHADOW LN, LAKELAND FL 33813",Login | Register,Login,| Register,67074.30
Re-Roof Permit,2026-05-01,"2811 CHUCK WAGON WAY, LAKE WALES FL 33898",,,,
Re-Roof Permit,2026-05-01,"723 S COMBEE RD, LAKELAND FL 33801",Login | Register,Login,| Register,4500.00
Re-Roof Permit,2026-05-01,"3337 MOUNTAIN LAKE CUTOFF RD, LAKE WALES FL 33859",Login | Register,Login,| Register,16000.00
Re-Roof Permit,2026-05-01,"194 MAGELLAN CT, DAVENPORT FL 33837",Login | Register,Login,| Register,20267.00
Re-Roof Permit,2026-05-01,"81 SUNSET VIEW DR, WINTER HAVEN FL 33884",,,,
Re-Roof Permit,2026-05-01,"3801 NW LAKE BLUE DR, WINTER HAVEN FL 33881",Login | Register,Login,| Register,1200.00
Re-Roof Permit,2026-05-01,"2818 DUNHILL CIR, LAKELAND FL 33810",Login | Register,Login,| Register,16870.00
