permit_type,issue_date,property_address,owner_name,job_valuation
Residential Roof Trade Permit,2026-04-28,"16121 Sandcrest Way, Tampa FL 33618",Skip to main content,
Residential Roof Trade Permit,2026-04-28,"8323 W Elm St, Tampa FL 33615",,
Residential Roof Trade Permit,2026-04-28,"3614 Elk Ridge Ln, Valrico FL 33596",,
Residential Roof Trade Permit,2026-04-28,"14439 Haddon Mist Dr, Wimauma FL 33598",,
Residential Roof Trade Permit,2026-04-28,"4326 Honey Vista Cir, Tampa FL 33624",,
Residential Roof Trade Permit,2026-04-28,"6313 Frost Dr, Tampa FL 33625",,
Residential Roof Trade Permit,2026-04-28,"13312 Lake George Ln, Tampa FL 33618",,
Residential Roof Trade Permit,2026-04-28,"2605 Dad Weldon Rd, Dover FL 33527",,
Residential Roof Trade Permit,2026-04-28,"7263 Somerset Pond Dr, Sun City Center FL 33573",,
Residential Roof Trade Permit,2026-04-28,"2825 Tammarron Ln, Brandon FL 33511",,
Residential Roof Trade Permit,2026-04-28,"1412 Highview Rd, Brandon FL 33510",,
Residential Roof Trade Permit,2026-04-28,"20036 Nob Oak Ave, Tampa FL 33647",,
Residential Roof Trade Permit,2026-04-28,"2406 Cumberland Cliff Dr, Ruskin FL 33570",,
Residential Roof Trade Permit,2026-04-28,"8919 Donna Lu Dr, Odessa FL 33556",,
Residential Roof Trade Permit,2026-04-28,"1935 Floresta View Dr, Tampa FL 33618",,
Residential Roof Trade Permit,2026-04-28,"17115 Falconridge Rd, Lithia FL 33547",,
Residential Roof Trade Permit,2026-04-28,"19705 Sea Rider Way, Lutz FL 33559",,
Residential Roof Trade Permit,2026-04-28,"4439 Mohican Trl, Valrico FL 33594",,
Residential Roof Trade Permit,2026-04-28,"6632 Waterton Dr, Riverview FL 33578",,
Residential Roof Trade Permit,2026-04-28,"4248 Forester Ln, Tampa FL 33618",,
Residential Roof Trade Permit,2026-04-28,"16509 Ashwood Dr, Tampa FL 33624",,
Residential Roof Trade Permit,2026-04-28,"519 Red Mangrove Ln, Apollo Beach FL 33572",,
Residential Roof Trade Permit,2026-04-28,"16408 East Course Dr, Tampa FL 33624",,
Residential Roof Trade Permit,2026-04-28,"9548 McIntosh Rd, Dover FL 33527",,
Residential Roof Trade Permit,2026-04-28,"13604 Heritage Way, Tampa FL 33613",,
Residential Roof Trade Permit,2026-04-28,"1803 Twin Oaks Cir, Wimauma FL 33598",,
Residential Roof Trade Permit,2026-04-28,"14301 Lofton Way, Tampa FL 33625",,
Residential Roof Trade Permit,2026-04-28,"8613 Chadwick Dr, Tampa FL 33635",,
Residential Roof Trade Permit,2026-04-28,"2020 W Del Webb Blvd, Sun City Center FL 33573",,
Residential Roof Trade Permit,2026-04-28,"7803 N Matanzas Ave, Tampa FL 33614",,
Residential Roof Trade Permit,2026-04-28,"3138 W Sligh Ave, Tampa FL 33614",,
Residential Roof Trade Permit,2026-04-28,"1344 Bluewater Dr, Sun City Center FL 33573",,
Residential Roof Trade Permit,2026-04-28,"20115 Bay Cedar Ave, Tampa FL 33647",,
Residential Roof Trade Permit,2026-04-28,"18105 Spencer Rd, Odessa FL 33556",,
Residential Roof Trade Permit,2026-04-28,"5018 S 87th St, Tampa FL 33619",,
Residential Roof Trade Permit,2026-04-28,"13131 Done Groven Dr, Dover FL 33527",,
Residential Roof Trade Permit,2026-04-28,"8703 Veranda Way, Tampa FL 33635",,
Residential Roof Trade Permit,2026-04-28,"8307 W Elm St, Tampa FL 33615",,
Residential Roof Trade Permit,2026-04-28,"15409 Long Cypress Dr, Sun City Center FL 33573",,
Residential Roof Trade Permit,2026-04-28,"1207 Lady Elaine Dr, Valrico FL 33594",,
Residential Roof Trade Permit,2026-04-28,"2509 Regal Oaks Ln, Lutz FL 33559",,
Residential Roof Trade Permit,2026-04-28,"9548 McIntosh Rd, Dover FL 33527",,
Residential Roof Trade Permit,2026-04-28,"7043 Silvermill Dr, Tampa FL 33635",,
Residential Roof Trade Permit,2026-04-27,"405 Vine Keeper Ct, Seffner FL 33584",,
Residential Roof Trade Permit,2026-04-27,"8914 N River Rd, Tampa FL 33635",,
Residential Roof Trade Permit,2026-04-27,"9504 Camden Hill Ct, Tampa FL 33615",,
Residential Roof Trade Permit,2026-04-27,"2501 Rich Mar Ln, Brandon FL 33511",,
Residential Roof Trade Permit,2026-04-27,"214 6th Ave SW, Ruskin FL 33570",,
Residential Roof Trade Permit,2026-04-27,"11653 Sunshine Pond Rd, Tampa FL 33635",,
Residential Roof Trade Permit,2026-04-27,"4637 Cabbage Palm Dr, Valrico FL 33596",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"5405 Marlwood Ct, Tampa FL 33624",,
Residential Roof Trade Permit,2026-04-27,"2603 Cathedral Oaks Pl, Plant City FL 33565",,
Residential Roof Trade Permit,2026-04-27,"9701 Port Colony Way, Tampa FL 33615",,
Residential Roof Trade Permit,2026-04-27,"124 Laurel Tree Way, Brandon FL 33511",,
Residential Roof Trade Permit,2026-04-27,"11032 Airview Dr, Tampa FL 33625",,
Residential Roof Trade Permit,2026-04-27,"13508 Greenleaf Dr, Tampa FL 33613",,
Residential Roof Trade Permit,2026-04-27,"117 Hickory Creek Dr, Brandon FL 33511",,
Residential Roof Trade Permit,2026-04-27,"1017 Cornwall Ct, Brandon FL 33510",,
Residential Roof Trade Permit,2026-04-27,"10706 Estates Del Sol Dr, Riverview FL 33579",,
Residential Roof Trade Permit,2026-04-27,"6606 Muck Pond Rd, Seffner FL 33584",,
Residential Roof Trade Permit,2026-04-27,"15611 Howell Park Ln, Tampa FL 33625",,
Residential Roof Trade Permit,2026-04-27,"7923 Woodglen Cir, Tampa FL 33615",,
Residential Roof Trade Permit,2026-04-27,"10912 Pond Pine Dr, Riverview FL 33569",,
Residential Roof Trade Permit,2026-04-27,"414 2nd Ave SE, Lutz FL 33549",,
Residential Roof Trade Permit,2026-04-27,"10858 Kirkwall Port Dr, Wimauma FL 33598",,
Residential Roof Trade Permit,2026-04-27,"2108 Darlington Oak Dr, Seffner FL 33584",,
Residential Roof Trade Permit,2026-04-27,"6002 Merlinwood Dr, Lithia FL 33547",,
Residential Roof Trade Permit,2026-04-27,"2627 Fiddlestick Cir, Lutz FL 33559",,
Residential Roof Trade Permit,2026-04-27,"601 Lime Tree Rd, Tampa FL 33619",,
Residential Roof Trade Permit,2026-04-27,"10602 Rivercrest Dr, Riverview FL 33578",,
Residential Roof Trade Permit,2026-04-27,"5302 Downing St, Dover FL 33527",,
Residential Roof Trade Permit,2026-04-27,"7207 Somerset Pond Dr, Sun City Center FL 33573",,
Residential Roof Trade Permit,2026-04-27,"3015 Colonial Ridge Dr, Brandon FL 33511",,
Residential Roof Trade Permit,2026-04-27,"1932 Providence Rd, Brandon FL 33511",,
Residential Roof Trade Permit,2026-04-27,"4214 Pine Isle Dr, Lutz FL 33558",,
Residential Roof Trade Permit,2026-04-27,"1516 Rushgrove Cir, Dover FL 33527",,
Residential Roof Trade Permit,2026-04-27,"1232 Canyon Oaks Dr, Brandon FL 33510",,
Residential Roof Trade Permit,2026-04-27,"5940 Caldera Ridge Dr, Lithia FL 33547",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"12211 N 59th St, Tampa FL 33617",,
Residential Roof Trade Permit,2026-04-27,"5302 Downing St, Dover FL 33527",,
Residential Roof Trade Permit,2026-04-27,"5302 Downing St, Dover FL 33527",,
Commercial Roof Trade Permit,2026-04-28,"16402 Cypress Mulch Cir, APT 3701, Tampa FL 33624",,
Commercial Roof Trade Permit,2026-04-28,"110 Hunter Rd, 102, Valrico FL 33594",,
Commercial Roof Trade Permit,2026-04-28,"16409 Cypress Mulch Cir, Tampa FL 33624",,
Commercial Roof Trade Permit,2026-04-28,"16401 Cypress Mulch Cir, APT 2001, Tampa FL 33624",,
Residential Miscellaneous Permit,2026-04-28,"19333 Aqua Springs Dr, Lutz FL 33558",,
Residential Miscellaneous Permit,2026-04-28,"10623 Laguna Plains Dr, Riverview FL 33578",,
Residential Miscellaneous Permit,2026-04-28,"5975 Hidden Branch Dr, Apollo Beach FL 33572",,
Residential Miscellaneous Permit,2026-04-28,"12835 Tallowood Dr, Riverview FL 33579",,
Residential Miscellaneous Permit,2026-04-28,"5215 Bishop Rd, Wimauma FL 33598",,
Residential Miscellaneous Permit,2026-04-28,"1533 Serenity Outlook Ct, Lutz FL 33548",,
Residential Miscellaneous Permit,2026-04-28,"12728 Westwood Lakes Blvd, Tampa FL 33626",,
Residential Miscellaneous Permit,2026-04-28,"6216 Boone Dr, Tampa FL 33625",,
Residential Miscellaneous Permit,2026-04-28,"11704 Stonewood Gate Dr, Riverview FL 33579",,
Residential Miscellaneous Permit,2026-04-28,"404 N Knights Ave, Brandon FL 33510",,
Residential Miscellaneous Permit,2026-04-28,"10504 Out Island Dr, Tampa FL 33615",,
