permit_type,issue_date,property_address,owner_name,job_valuation
Pool Permit,2026-04-28,"430 ALABAMA AVE, DAVENPORT FL 33896",,
Pool Permit,2026-04-27,"430 ALABAMA AVE, DAVENPORT FL 33896",Skip to main content,54000.00
Re-Roof Permit,2026-04-28,"5600 CHARLIE HARRIS RD, LAKE WALES FL 33898",Skip to main content,4200.00
Re-Roof Permit,2026-04-28,"4056 SE CENTRAL AVE, HIGHLAND CITY FL 33846",,
Re-Roof Permit,2026-04-28,"310 NE 17TH ST, WINTER HAVEN FL 33881",,
Re-Roof Permit,2026-04-28,"115 S PADGETT PL, LAKELAND FL 33809",,
Re-Roof Permit,2026-04-28,"2428 NE EDWIN ST, WINTER HAVEN FL 33881",,
Re-Roof Permit,2026-04-28,"155 OLD BOWLING GREEN RD, BOWLING GREEN FL 33834",Skip to main content,3000.00
Re-Roof Permit,2026-04-28,"700 N CLEVELAND AVE, FORT MEADE FL 33841",Skip to main content,5400.00
Re-Roof Permit,2026-04-27,"163 JOCELYN DR, DAVENPORT FL 33897",,
Re-Roof Permit,2026-04-27,"7526 PLEASANT DR, HAINES CITY FL 33844",,
Re-Roof Permit,2026-04-27,"8232 SIMPSON LN, LAKELAND FL 33809",Skip to main content,9000.00
